week_number,start_date,start_time,type,name,distance,moving_time,elapsed_time,average_speed,max_speed,total_elevation_gain,average_heartrate,max_heartrate,average_cadence,average_temp,pr_count,average_watts,total_photo_count,achievement_count,kudos_count,comment_count,athlete_count,start_latlng,end_latlng,map.id,map.summary_polyline,date,month
33,2023-08-15,07:59:02,Ride,Morning Ride,27.8786,57.166666666666664,57.166666666666664,29.2608,39.312,77.9,143.2,173.0,84.5,18.0,0,130.8,0,0,16,1,1,"[53.33788191899657, -6.553475316613913]","[53.33876897580922, -6.552342502400279]",a9650319432,wppdIf~~f@Ff@Cj@e@vDk@`DSdCe@dC?PF\x@bAlDjD`BfBRPJ@LNjAvBtCbGhJ~TxCbGbAlC`@nBZdCXbBfChJhCnGrA`Ex@bBp@bAzBvBv@bA`A`BtAnC~AnDb@`BjEbVHlBC`DMbA}@vC]hBe@rI?pAHn@Rj@zAnCd@n@vB~BjCjFd@n@bAbATb@Z~@Jn@r@bFDp@AlAu@hIu@pLSrDKnDExD?lDN`JPxDNrBz@zItAfKTjAb@h@LZBRInB@hCl@`Mf@pFlJbs@t@nGPbCHhBf@fT\nKRhD\rDj@zDl@|CzBjJpB|IlEfQzAzGhIp\zF~TnCfLrAhEn@bBnAzCrAtCvWzi@b]xs@lLxUfS|a@|EpJrDbIfArBb@`@R^b@|AfDdHx@rBj@hCrArHX~@CFqAH}Cx@aGnCy@VcDd@uAFe@E{Be@_IeAgACa@J_@Vg@v@qDfIqFbLyAtBoAt@wAT_E\{Ad@_GfDwCjBeTnL}Ap@aBV_Bd@yA`AuD~DkBvAsAd@gAJy@@w@I_Bi@qFoCw@YgB]eBGsBLoHdB_BV_CPsB@_DS_Dc@wJuBeFaBgK_EcEkBgDiBcDsBoCqB{DcDiFwEqA}@yM_GuJaDiBa@aMHgMR}K~@MGQa@SuBy@_LKmDOcNEqNcAmQSiC_AuGaAqEgFwWmByIg@iEQgDMcEG{Fm@sNSqD]iDk@kDS_DC}CLqD@qBA[E[mAiEk@yCo@}BmAkD[oA]uE]eD_BgHmBsJ{@wDy@uE_AeGuAmKg@uF]cHKeAIgHP{Bb@sBd@sC`@aD@YEw@_@cCi@yEcCyPa@wDIaDJgC`@eGRaC^oCjFoVVsBAqJLgMYcH?s@JoAZcBd@uA|@yBh@oBT{CZeCNs@`@}ArAuB`@y@\{@f@kBV{AhCiRrAiK`ByR`@aGDMVUJg@@gFHqA\cDd@sDX{AlAgDRq@@SCe@[yBIcCHgB`@eC?m@o@{BQeASoDMaBQeAOe@U_@mAq@YWQe@Am@Hk@v@mCX}An@mEt@aCx@}CjBkIDo@?WQ_AcDeLw@}CO{@YeCGeABa@JYHG`HcDvIqEh@_@^s@Lq@JqA@mBSoE]kFEoABs@`@aF@{DEsDB_ALy@fNqe@lA}DvF{R~BsGHI\T`A`Av@b@nH`ITGPs@`@yCnAqKDk@Ek@_@gAo@iDQY{@MQLC\JL,2023-08-15,8
33,2023-08-14,15:04:25,Walk,Afternoon Walk,4.4536999999999995,49.75,51.31666666666667,5.3712,8.3016,32.7,102.9,123.0,58.9,28.0,0,,0,0,12,0,1,"[53.76241550780833, -9.805559534579515]","[53.762618601322174, -9.805095931515098]",a9646015306,ancgIvczz@ERWr@?tAIp@CXOx@ANSl@_@~@GR?DORGTIDOb@S^Gf@^fAXj@NF@DBALRh@bAL`@?HLJJPRJN?j@XXFZJbAPJFHND`@El@Kf@GpAE^AnAGxAk@tFE~@Gf@CbAIzAANIPGp@EtAMv@KvAGTCZKrAKVG`BQfBCz@YvBKrAMp@KzAWtAMdBINMLULyAd@OHc@`@YNMBMJs@NUXKHcAFKFUXUHY@ODWNk@TiAXSPIBa@`@YHmADu@Ts@Zc@Dg@LMFGHG?ILy@HMH]Fi@p@Yh@o@`BU\IDKBPEVd@JZJd@Xr@LLVJd@J@B\@x@ZTVf@b@d@XLPHPVTL?XQNAv@_@l@Ft@Pf@IX?f@PRB\LLJh@TXRRDd@E^@VD\R\HZTV\b@`@PNJ@BCJ[Bq@LoA?aCBa@CoAF_@LkB@cAPuCFmC?q@LcBFg@H_@?WNw@RgC@a@As@?SFa@D_ACK\sBDs@d@{CPqBZ}BLmBJe@@cAh@wFRuAPkC@c@F[BoAPaA?]PgCH]Fa@DwBHo@Ee@?i@}@[WMi@Ke@Q[Mu@k@U[i@eAWYi@aBEGKCEM@i@`AoBF]Rc@B[AEDKDc@?c@Lw@Na@Lo@`@qCXu@CC[CQEGQABFG,2023-08-14,8
33,2023-08-14,07:45:35,Ride,Morning Ride,22.316599999999998,47.1,47.36666666666667,28.4292,50.6232,155.0,127.1,165.0,81.7,19.0,0,87.2,0,0,22,0,1,"[53.76227150671184, -9.804853443056345]","[53.76241659745574, -9.805141696706414]",a9643772398,emcgIj_zz@W{HGMIWOwCsA_PYeMaAmXs@aOCs@@_@LYJGVGhC_@hCe@fBSvBOlD[ZKLKnBcCdBmBbFcHdDeFr@eBzAsEnGiQPOTCf@JZLnAt@ZDLAlBmAt@a@LCZCtAHhANfB`@tCt@tBt@vCvAr@`@p@f@rKnKp@d@XJf@HxBNxFXh@@xEMp@?lERbAChCW|@C~@Vh@@~@?|B\dATd@Nx@b@hHtF^LP?PC~@_@z@g@j@c@LCNBZLlBhAbAx@`@f@Tr@\rD\xC`@fBj@lBf@hAvBhE|H`Rn@dAjFnGdA~@zA`AtBr@xDbAj@L~Hl@xDVxD\xCn@`GvAhHnCr@RxAVjE`@rFz@pAX|ChA~JjDdHnCpDbBtAd@vA`@nDt@Z@bBU`AGpCE`BOTElAe@JAXBZVb@t@tFnK~CnGfCrEv@lAXX^Rd@Jd@@RERIn@_@VFJ^Ch@k@rF_ApKYrDGxA@|@\hGLlEG|@}@pBGXAXLhA@X[~Bg@xFaAhEoBpHeBpEiChGq@nA[d@kA|A{BhCyAvBgAdB]j@Sr@EPKrBMlJHpT?tJKvBS~BgAlJaBfMO~A[nGo@fQS~HAlD@jBFlATrC?fBK`B_@nCk@pDaCfMqAzF_@nBc@nC{AlNWtAk@pCi@hBu@tBqB|EMp@Kt@E|AJz@h@dBHz@@z@OlFL|F?rACZUjB_DpNAR?n@RvB@t@E|@a@|D?ZBXZbCRhBhAbPr@xFL~AD\f@~ALr@jAlPIp@m@hAYZKBMEIMsA_EmAsCwBqEuBuEyCyEe@o@cAkAcC{ByMwKyLqJiDwCuZmZeIyHyOkMmBwAkBgAqG_Dq@_@w@y@kC}Cy@kAg@y@_@s@mAoCgAqCy@cC_Lcb@kA_F}AqH}@uD_BwFmBeG_BuEo@cCoCqSkBwRuAuJo@yDs@qDyAuF{BoHyEoNg@cDuC_[SkAQk@{@qA_EeFeI_KuEwF{GuIeEcF}@y@_FuCw@o@KOKUOq@qAyJk@uDUs@]g@c@[cBu@iBi@eASuB[sC[}Jw@{Ba@y@Sw@WcBy@m@s@kCuDGKESPq@dAgCRu@`CgLI[GA,2023-08-14,8
33,2023-08-13,14:02:30,Walk,Afternoon Walk,11.1663,118.23333333333333,120.06666666666666,5.6664,11.3688,163.0,106.4,152.0,60.6,25.0,0,,0,0,26,0,1,"[53.762432020157576, -9.805086376145482]","[53.762610806152225, -9.805136667564511]",a9640157925,encgIx`zz@RGPYHy@C]?w@a@qDY_DImCUuAQkBUyDIi@CeA@_BCcCYoGKkDGiDYiGFgBKgAM[Es@OgDCqBK}AGkEKi@Q]Qy@Ey@ESAyBC]PcFAc@Ge@KaCKiAGoECu@KaAUuHMoBCqBO_AGq@@eACgCYsFImEUwCc@mECm@w@aHWqDa@uDc@{H]}CSmAaBeFa@yASaAEi@C_GEk@e@iAKs@_@}@COmA{CU_@c@_B_@aA_AoDAUKg@@OWaBAg@S{@I_Ae@uCQaBUiCAwAMmAM{@]q@AQSs@?c@Gy@G_CO_BAw@MWCw@Mc@Ge@Cw@AaEBo@CUq@Og@YcA_AeA{@q@_@]KqBf@w@Du@R[NaAxAm@h@y@^{ADIJWhAWr@q@n@PdAGr@C@B`ACj@AhBJrAR|@AnAN|BIfAFx@C\DzBEV@rADT?t@El@DbAAr@Mr@JrAA\Bt@Gd@FnA?dAEVFh@C\Up@?v@UjBAp@@h@Mv@GxAGZKrCMbBSp@Y`CO|Bw@tDaAnCmAtBYZi@`A?LQJMl@Df@D?ZSd@Cf@Zx@hAd@jALJRZf@dA~AfATd@VPXOHSl@oDPSLAd@`@x@fAXh@RHd@l@p@~ANh@f@~@dAbAv@nARNXj@^Tn@~@Tr@Bb@`@lAbA`EbA~Af@zA|@bANXPr@p@n@ZnAz@xA\x@^xAj@lAl@lB\xAv@`Cf@tBb@tA`@fBH`AALa@l@gApAu@l@]d@IV_AbBUn@aB~BO\?\`@fB?dCDf@CRc@pAi@fASt@cAlBcBdDUdAYh@c@tAo@pAa@rA_@\SHoCn@QNa@`AKFw@Yu@y@[AKTA|@CNi@Ls@Sm@w@c@[[Io@r@Q\[jA_@x@i@rBCb@BdBAl@Gb@OVm@`@YFe@Aq@WaEb@EJBlBFf@PpCx@rGN`EXzBZxEPrAx@nD`AzBb@rA~DxHfBvBj@f@KfDWjCFb@JNPHxA|Bl@j@d@t@j@p@xA`CrA~Af@z@~AfB~@lAXR`AGJ?DFLMd@EPKb@?dBg@r@eAh@eAPg@Lq@B_ADWJ[\_@j@CZUdCe@rAc@rCCtCn@\AVOr@Cj@WjAiBx@iAXm@Nm@TWLYv@gCTc@r@wCRoAx@oD?Wc@EMO,2023-08-13,8
33,2023-08-13,09:36:11,Ride,Morning Ride,48.025,115.25,118.5,25.002000000000002,58.701600000000006,580.6,138.4,174.0,77.0,19.0,0,137.9,0,3,31,0,1,"[53.76270242035389, -9.805182684212923]","[53.76262480393052, -9.805208835750818]",a9638198187,{ocgIlazz@d@Jl@YHeEoCc[qCyu@?mCZYrTyBhAy@xEyFpJiNhKcZZWjElAlEwBvDXzFvAzIhEzKxKbBt@tLn@rUC`Jv@vA`@pJrGjA]jBmArATfEhDT~@x@jIbApDvCdG~HnRdI`KrA~@~CvA~FvA`T~AtJvBxKvDfPvBlSbHtMrFdGzAxKe@tDw@bAjArK`TrDnGv@r@jAVp@IvUqMpJ_D`BuAZ{AzCaXhA{CjAsEhC{Dp@kBz@oHnAyGrKkXbMcNbAP|CxGrAhAjAb@nSvCfBh@tDNfO~C|FsClI{J|DcCbIiBdCzAtFKnE}FzKuLhCkDfEw@nG_KnHoO`DwOzD_LpDuI~HmMpFwDlCuF|CgIjDsEjAiCzGsGtDeJbB}B~EyJfBgCdA[nBcC|F}K|CiC~BwD|Fa[xBoI|A}AfBe@`EZfD|@bB]vAo@BSiF}Ke@yBD{Dj@cEAwBiAyNuD_RsBsPLuLaAc\L{^PaDfBwOxAkTRoMf@_IBsEQ}Gc@mDqAoHNaH|A{JzEaQ~AsKp@{KJkRa@mU]gEcAyGGoB`AkVwCgL}@eFFaJq@kL@aIS{Eo@qFq@aKaBsGgHwPe@kB_@kDk@uKCyM]mUeE_[wCkK]gBsAaNo@{JaAsGeAuCkCoEcE_GuBuB_FeLiG_T{AsC_Ba@i@DUXGtCaAnFcAhCe@zCmAhAM`@BlBMfAq@dCiDpIi@l@oDrBmAnCwBjCoCl@eBGo@{@_@sBmAyOi@yCcBmAgBcEo@iCaAkBg@o@kCoAaFeJmDqImLa^{D}JyDiEeDmC{B}CeT}TwJuMwC{BsE_BeBqCq@i@yIyBoNgAkAa@eB_AaFuFkBgA}M^eErAqDQo@UsKoK[GCvAM~AgBfHQdCH`LKnCw@jDIhAHbBv@|DE|BkAzEkCbPqAxMqBhNv@}Dm@vDm@nBgBrD]lA}BxVUnAe@r@sc@f^gCjCaA`DuAxPo@hFgCnLoA`EsJbSsOtVsExLcLlWmNrTqM|WsDxC_AlA_FvLiEnNaAbAcB|@wATqAKcAXqCtCgG`LoChB{F~FuJbCaGtHmD~IqEfOa@dDQtEiAtEsBpFqCzFeHtQmDdLqCxFaBhE_CpJwE|NcG|ToSzcA}AnG{GjTeBvGaEhYYd@cAIWf@JxWXtH\jG`BjFWtB}ArEJ~B?pHVnEGpG[tBcBpE_@xE}@zC?nA`AnKzGv_@pCnNbAzHxAnP~@hGfArFqGzKcCdI{Sf^_IzPU~A?hA|AbS?jBWjC_A~G_Lb[aKzNeF|FiKhAwHrAi@^vCfy@pCl\SbDm@VQO,2023-08-13,8
32,2023-08-12,09:57:33,Ride,Morning Ride,22.5852,49.46666666666667,56.8,27.396,59.184000000000005,188.0,151.7,178.0,84.2,21.0,1,156.0,0,2,28,0,1,"[53.76259555108845, -9.805209506303072]","[53.76268012449145, -9.805189054459333]",a9631306920,eocgIrazz@L?NENKFIFw@@qB]uEsBqUOgISaGcA{Wg@uKC}@DQHKVMlEg@jCa@~CUbD[ZIXO|ByCl@k@v@}@tCiEfA{ApDsF~CiJf@mAdA_DpAiDp@_BPOJAz@JxAx@LDZ?ZKjBmAt@YJAlAF`BVdDp@`Bb@hBn@dBz@hAl@b@Xv@n@nEpE|DxDPL|@XdHd@hDHvCEfB@tDNfAAnDS\?fAZhAB`Dd@z@BpAd@\RvDlC`BrAJHNB^ExAm@`As@\ELB|@d@p@h@`BfALNR\Pr@fAnJZrA\jA`@fApBzDfIlRz@tAdE|E^h@d@`@bBdAn@\|Aj@|EpAb@FtDT~BTxDRfCT`ANfJvB|@X~Ap@rEzAh@LjBTrBPrHhAtA`@`OfFxFzBzCvA~Bz@bDz@jBb@V@`@AzAS`AGlEKv@Q`A]RCVDTR\h@tFlKnCtFbEnHZ^`@Vh@P^F\A^OZWXIJDFJBd@Ch@i@pES|B}@rJM|BE~B^fHJhD?ZIp@y@dBIl@ATH~@Cp@YhCS~CIn@m@nCaBnGs@~B_DdIcA|B]r@q@hA}AxBmC~C{BlDYh@Qp@Kp@MbEG|FHx[?|ACbB_@pEgBfOm@hEUdBUrDa@rJq@fTC|B@dDBdARfD?`AGzASlBg@dDwBfMsArGsAjHqApLe@`Ds@dDe@dB{@|BgBhEMl@MnACx@Dv@FXf@xAHp@@r@O|F?p@HrBBzCUfC}B`Ke@bCA|@NlBBn@At@]vCEn@An@BVp@`GfAbOr@xFVlCj@jBJn@l@dJZhD?h@Mb@{@tAKFI?IGS_@_AsCo@}A_AyBmEiJyC}Eq@_AwA_BsBkBwCaCkRmOmAeAyAiA_BsAaK_KaOuNyEuEyEiEsJ{HkAeAoBwAcCwAuGyCi@_@{@}@uAcB}AuB{@{AgAeCmA_D_AqCaKg_@{@iDg@uBiBsIoAkFwC}JaDwJIa@oCoSs@oGy@eJsAkJm@sDsAkGiAcEmEkNoAgDy@sCi@iEcCkW_@mCM]MY_@k@mK}MiOiR{HoJc@c@YQ}EoCk@m@Ym@I[_@aC_AcHq@uDc@u@USgAk@iAc@iA[cB[{Eq@mKs@mCg@aCw@e@Su@e@oAgBkAiBWm@AQ@OJWf@aAf@mANg@|BkKD_@AMGG{@NeBC@AJFBAVA|@J@M,2023-08-12,8
32,2023-08-11,16:15:29,Walk,Afternoon Walk,4.3261,47.416666666666664,49.65,5.4756,9.395999999999999,39.2,92.7,111.0,60.1,29.0,0,,0,0,17,0,1,"[53.762422716245055, -9.805149659514427]","[53.762675765901804, -9.804995097219944]",a9627268344,cncgIdazz@FF?Fa@zBEbA_@rAGp@ELAz@@VIBUr@Yp@GTORITOT?`@@LLTLFJNDRXZTHDPCd@@L\|@NZn@b@VFRNz@ZFDF?`@NVPJN@TAt@e@xEWlDd@eEFMDa@?SNiA@kAGs@GIe@SQa@kAg@WEUKe@YYc@_@ISS@[CUS[IKI?YGe@m@SBSn@SDQR_@RWXSZY`A]RWJ{@DkCAWGUCeACq@Ek@Aq@Vk@Lu@T_@@MDWBQ@]C[RWp@M\CXSv@Kn@YdAY|@QVSNe@Tk@NOCa@BcA`@y@NGHKBSCOIaCqC{@qAg@m@gBoC}@kAo@_AiB}Bu@kAu@_AC]F}@`@sCT_Cv@uDDc@Ps@RiAPuEVuBBGX[HGTIRMR}@f@oAR[f@c@`@_Ah@}@HGH?LRTp@n@xA`BlEXd@Vh@v@bAVj@fAzANLf@Rv@l@VJf@^`ARJH^N~@l@XFRFfAl@ZLh@Z\H^Nx@b@RDRHJJLFnBj@p@ZLLPDXPXJTRlBnCFDDAND\^NEDERi@HCNQN_@Js@R_@VaAPu@LoAPe@L{@Tu@N}@?EUY]MCG@I,2023-08-11,8
32,2023-08-09,20:38:43,Walk,Evening Walk,3.3387,38.53333333333333,45.833333333333336,5.1984,8.503200000000001,125.0,89.7,122.0,57.6,27.0,0,,0,0,0,0,1,"[53.33884734660387, -6.552111748605967]","[53.33860041573644, -6.552433026954532]",a9615809459,wvpdIvu~f@ACXITSVBJG@WKi@Kw@JyCAe@B]FSNSVo@V]VWVIFIb@ULg@LQn@GTFb@R\H^CLEN?BC^{BVc@XUT[b@cCJ{@ZqAr@_ETw@@AJF?AGOOQISA_@Uy@cAeBIKw@iBYa@o@kAK_@MWOeAK_@O[s@y@QYm@_BS[IYAMGSG_@_@e@@A?F?G[?EAMOKWMKEOMMUc@SIYSOGKBGUIM[M]c@YIKKGKMOQIEGMGa@a@IEG?[[MSi@]g@e@C@g@q@a@UMSAIA@CAECO_@MFIJ[r@a@f@Ob@oAnB_@dAK^Yr@a@p@Ur@Wh@@ACPWd@IDKRK^Ub@CNa@dAIF[j@AHGLY\OLSh@_@j@GT@n@BN?r@Df@?r@G|AAf@BVI~AChDJ~@VtDAp@Bn@NfAFdACf@@~APfB?pARvBAJPbBPl@Ff@HRXzAb@`AT\\\b@r@j@d@lB|BNJj@t@VNNRXRFLTFXQVk@F[FMXIZWJUH[AY@Of@KPKPSH?PNHHFPPRJ@HCJFj@l@B?\mAJSPSNWNmAHID?GG?SLFR\DB?D,2023-08-09,8
32,2023-08-08,17:06:19,Walk,Afternoon Walk,6.8441,77.53333333333333,81.61666666666666,5.2956,9.5328,23.9,95.0,114.0,58.5,26.0,0,,0,0,0,0,1,"[53.338844161480665, -6.552079394459724]","[53.338720109313726, -6.552370665594935]",a9607944287,wvpdInu~f@BEXQHCZBLKEs@Kq@@{@E[?[Nw@XmABc@Tk@^c@p@m@VIHKL_@FMf@Bl@Lr@Pt@AHEJaAT}@\k@V[BI^wB^wATcB~@mEDELDQq@Ba@D?Mi@KGSi@q@}@cAwBUa@g@q@[m@Ok@c@{@Ys@Oc@AY_@e@Sm@Os@QQe@yAUSGQICWa@MKm@}@_@[Ic@WS_@QKa@GIQMKOa@Wk@m@_@M[Ws@u@UO}@kAi@[i@a@KKYQEGOc@OKK?KEY]i@_@c@i@[SEGQK[YQKKSUQe@i@SMc@e@s@m@OWa@e@k@g@MSa@a@SMQW}@cAo@w@{@u@Y]o@g@u@m@MGc@a@m@}@oAqAq@m@m@{@_@c@a@Y]K[OOSc@[YWi@}@o@gBWe@cA_CGEKAON]f@SBWYMAI@OGSKSSOGSUQ_@GY]u@E[S[q@uA_@sACAGKSu@i@u@Oa@BOSWMEMMOc@Im@IUS[Ke@QUi@yAg@g@MYE[B[AIGAQMIKw@sBWi@Qw@IqAFWf@m@j@w@l@[RIREh@OhBcAZG\@DAZ@JCl@[RWd@Sj@KPDTAv@YNQh@OF?h@_@x@WHAVT^Jb@HRJf@b@`@n@b@rAJPTbALt@l@hCRtA^lDLt@DpAN|BANTlE?b@FHN@\PJNj@hCz@vBVvBHbBJv@p@vBp@~CVn@PbAJ`@NXf@~An@hA^`@`@t@^d@JHVh@j@nB`@bBd@hAfAjA^ZfB~B~@p@RX@DABBRCJHh@NNFNRFRRPFPLVZb@\l@`A^PRDXPDJJLLHVj@FRDBHVZDPJf@LXRRVRJJBd@Tj@JJHz@hBfA|ABRFH^lAXp@BPXr@?VHd@l@n@b@bATZRl@JPHd@NRJZ@NFPn@z@l@rA@HHRDf@LZR`@VXFNd@p@HRRTBLABGGCHUhAKx@Qv@{@pFQh@IJSp@k@h@IPGVOzAK`@KFk@BO?u@Ow@GG@MNIVIHYRUH}@t@UTMXQh@GVKbBBv@Fv@DrBAFOJKPg@AC`@@DB@?A,2023-08-08,8
32,2023-08-07,09:36:05,Ride,Morning Ride,73.2347,200.51666666666668,247.85,21.9132,60.4944,1504.0,90.7,145.0,72.1,17.0,0,141.9,0,14,37,0,2,"[53.0917813628912, -6.604084074497223]","[53.092023096978664, -6.600039806216955]",a9599476357,sn`cIpzhg@|BjKDvB~Uw@|IhA|KfHjTdUnDfChaA~`@pVnIzCtC~CjJ|BxD|o@tXtK|GvKbEjMbO|KxIdZnKx\cBlAgB`A{Kb@}@rCm@dNwOj[cKjOwOlH_W~BgOpAuPlFoOBsCxB_Mn@gInCuCf@eBCoVTsDjBoI|CgD|FcNx\wn@pLcOhCqGh@cLdI_AjT{OfG}GtCgLjA{J|PyZfEgNbGdCnJuBpoAzi@tExCxEs@fTb@rCiCtDeH~F`BrSuLtE{@xCoBfEGdAgAxVmp@`Kae@tImP`Qa`@`JoLpB}^_Asc@n@cNbDkG`JwU|HyMdJsK|i@{^bZcXlCmGzMcc@jD}GbFsFhGUrGaHfSoKpFoEhG_CbOyCxk@\xAEd@q@~HozB^uT}@oDiEoEQgBdI{NF{WtAwPQwCmA}Gt@iPbDk[?kPoCmWg@qHqFy`@o@yl@gAkFeA}A{AGaF~Bq@oANmFzC_NDcFx@gFuA}DcAgH_F_OCoLlBsGAwAkIcVgJm^kA{I?sIzC{TZkRcBwg@yAyLaDyKmIiNmHi@qJzA_GWgC{AaC{E_DgCwYq@uLyO}HgDmG{HaHcSwDkWwAqU}BiMoHaS}FoFmDeMcDgGaDmMuDqE}E~@uGxIeHtEkGpM}@NcMqGiDcIgCqCeCsJoK}G}HcLeIgScK{]}AwIc@yOv@kTgBeZa@mQcCiVmCmJaHwO}AwHwEyImDqAeFt@wFfEeFbIiBn@iIHiHbCkDyA}@aBKiHgAgFO{Tm@{IeBcJaBqD_CaBuDoFmDaAkFNeEpCwJz[wHbNgF~Fg@qAm@aNXaYkBaJaCmE}LgDuKcAmAsCuJeHuCkBiIwBkCiDgSfBeFiB_JyFa@P}BhKb@u@c@|QBdl@oAnOYrLqCxRiChXqMhf@mB~EqFtSkPbp@sI~b@gMld@_CrOoCvc@iAhGmCfEeIrG_MvEmJjLaJ|ByH\_Z~IaH`KmLxXyGf^TrP`Dzl@FfTKtP]jC_GxI_BrH{BtF_[h^mK~AcMa@kCvA_DvEiEjJuEdPiCnO[pG~@pd@EnLhAnKn@lOMjRcCrRaA`P_N|hA_BxFaG`FiAnB{@pJFhG~Edi@pA`f@`DrQ`Ata@a@|IiEjWuAvQR`HvAzId@fHVt_@bA|c@w@dEmDjH_BfGgCtWwCpNaDrVmBfV_CtL{HnTcExQiEbJyJpMmHxQmClJSnBn@pEmA|^`AjRIjCaJrYoNt_@yNfe@gDfQsBrXuChNsDzKiNxOyJbRuJlDsHjHyChGoElNk@dENdCpEhJvDlLyA`KsEtBZ|Mq@`D,2023-08-07,8
